premise,hypothesis,trigger,trigger1,trigger2,presupposition,gold_label,UID,pairID,paradigmID,section
All ten reports that can bore some waiter aren't disagreeing with Naomi.,There are exactly eleven reports that can bore some waiter.,negated,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,23c,1,presupposition_all_n_presupposition
All ten reports that can bore some waiter aren't disagreeing with Naomi.,There are exactly ten waitresses that can bore some waiter.,negated,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,24n,1,presupposition_all_n_presupposition
Are all ten reports that can bore some waiter disagreeing with Naomi?,There are exactly ten reports that can bore some waiter.,interrogative,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,25e,1,presupposition_all_n_presupposition
Are all ten reports that can bore some waiter disagreeing with Naomi?,There are exactly eleven reports that can bore some waiter.,interrogative,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,26c,1,presupposition_all_n_presupposition
Are all ten reports that can bore some waiter disagreeing with Naomi?,There are exactly ten waitresses that can bore some waiter.,interrogative,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,27n,1,presupposition_all_n_presupposition
All ten reports that can bore some waiter might be disagreeing with Naomi.,There are exactly ten reports that can bore some waiter.,modal,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,28e,1,presupposition_all_n_presupposition
All ten reports that can bore some waiter might be disagreeing with Naomi.,There are exactly eleven reports that can bore some waiter.,modal,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,29c,1,presupposition_all_n_presupposition
All ten reports that can bore some waiter might be disagreeing with Naomi.,There are exactly ten waitresses that can bore some waiter.,modal,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,30n,1,presupposition_all_n_presupposition
"If all ten reports that can bore some waiter are disagreeing with Naomi, it's okay.",There are exactly ten reports that can bore some waiter.,conditional,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,31e,1,presupposition_all_n_presupposition
"If all ten reports that can bore some waiter are disagreeing with Naomi, it's okay.",There are exactly eleven reports that can bore some waiter.,conditional,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,32c,1,presupposition_all_n_presupposition
"If all ten reports that can bore some waiter are disagreeing with Naomi, it's okay.",There are exactly ten waitresses that can bore some waiter.,conditional,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,33n,1,presupposition_all_n_presupposition
All ten reports that can bore some waiter aren't disagreeing with Naomi.,All ten reports that can bore some waiter are disagreeing with Naomi.,Not_In_Example,negated,unembedded,Not_In_Example,2,all_n_presupposition,34c,1,presupposition_all_n_presupposition
Are all ten reports that can bore some waiter disagreeing with Naomi?,All ten reports that can bore some waiter are disagreeing with Naomi.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,all_n_presupposition,35n,1,presupposition_all_n_presupposition
All ten reports that can bore some waiter might be disagreeing with Naomi.,All ten reports that can bore some waiter are disagreeing with Naomi.,Not_In_Example,modal,unembedded,Not_In_Example,1,all_n_presupposition,36n,1,presupposition_all_n_presupposition
"If all ten reports that can bore some waiter are disagreeing with Naomi, it's okay.",All ten reports that can bore some waiter are disagreeing with Naomi.,Not_In_Example,conditional,unembedded,Not_In_Example,1,all_n_presupposition,37n,1,presupposition_all_n_presupposition
The five waiters that approached Paul depart.,There are exactly five waiters that approached Paul.,unembedded,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,38e,2,presupposition_all_n_presupposition
The five waiters that approached Paul depart.,There are exactly six waiters that approached Paul.,unembedded,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,39c,2,presupposition_all_n_presupposition
The five waiters that approached Paul depart.,There are exactly five doctors that approached Paul.,unembedded,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,40n,2,presupposition_all_n_presupposition
The five waiters that approached Paul don't depart.,There are exactly five waiters that approached Paul.,negated,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,41e,2,presupposition_all_n_presupposition
The five waiters that approached Paul don't depart.,There are exactly six waiters that approached Paul.,negated,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,42c,2,presupposition_all_n_presupposition
The five waiters that approached Paul don't depart.,There are exactly five doctors that approached Paul.,negated,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,43n,2,presupposition_all_n_presupposition
Do the five waiters that approached Paul depart?,There are exactly five waiters that approached Paul.,interrogative,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,44e,2,presupposition_all_n_presupposition
Do the five waiters that approached Paul depart?,There are exactly six waiters that approached Paul.,interrogative,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,45c,2,presupposition_all_n_presupposition
Do the five waiters that approached Paul depart?,There are exactly five doctors that approached Paul.,interrogative,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,46n,2,presupposition_all_n_presupposition
The five waiters that approached Paul might depart.,There are exactly five waiters that approached Paul.,modal,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,47e,2,presupposition_all_n_presupposition
The five waiters that approached Paul might depart.,There are exactly six waiters that approached Paul.,modal,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,48c,2,presupposition_all_n_presupposition
The five waiters that approached Paul might depart.,There are exactly five doctors that approached Paul.,modal,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,49n,2,presupposition_all_n_presupposition
"If the five waiters that approached Paul depart, it's okay.",There are exactly five waiters that approached Paul.,conditional,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,50e,2,presupposition_all_n_presupposition
"If the five waiters that approached Paul depart, it's okay.",There are exactly six waiters that approached Paul.,conditional,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,51c,2,presupposition_all_n_presupposition
"If the five waiters that approached Paul depart, it's okay.",There are exactly five doctors that approached Paul.,conditional,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,52n,2,presupposition_all_n_presupposition
The five waiters that approached Paul don't depart.,The five waiters that approached Paul depart.,Not_In_Example,negated,unembedded,Not_In_Example,2,all_n_presupposition,53c,2,presupposition_all_n_presupposition
Do the five waiters that approached Paul depart?,The five waiters that approached Paul depart.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,all_n_presupposition,54n,2,presupposition_all_n_presupposition
The five waiters that approached Paul might depart.,The five waiters that approached Paul depart.,Not_In_Example,modal,unembedded,Not_In_Example,1,all_n_presupposition,55n,2,presupposition_all_n_presupposition
"If the five waiters that approached Paul depart, it's okay.",The five waiters that approached Paul depart.,Not_In_Example,conditional,unembedded,Not_In_Example,1,all_n_presupposition,56n,2,presupposition_all_n_presupposition
The five boys who research that university had examined those reports.,There are exactly five boys who research that university.,unembedded,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,57e,3,presupposition_all_n_presupposition
The five boys who research that university had examined those reports.,There are dozens of boys who research that university.,unembedded,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,58c,3,presupposition_all_n_presupposition
The five boys who research that university had examined those reports.,There are exactly five children who research that university.,unembedded,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,59n,3,presupposition_all_n_presupposition
The five boys who research that university hadn't examined those reports.,There are exactly five boys who research that university.,negated,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,60e,3,presupposition_all_n_presupposition
The five boys who research that university hadn't examined those reports.,There are dozens of boys who research that university.,negated,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,61c,3,presupposition_all_n_presupposition
The five boys who research that university hadn't examined those reports.,There are exactly five children who research that university.,negated,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,62n,3,presupposition_all_n_presupposition
Had the five boys who research that university examined those reports?,There are exactly five boys who research that university.,interrogative,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,63e,3,presupposition_all_n_presupposition
Had the five boys who research that university examined those reports?,There are dozens of boys who research that university.,interrogative,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,64c,3,presupposition_all_n_presupposition
Had the five boys who research that university examined those reports?,There are exactly five children who research that university.,interrogative,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,65n,3,presupposition_all_n_presupposition
The five boys who research that university might have examined those reports.,There are exactly five boys who research that university.,modal,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,66e,3,presupposition_all_n_presupposition
The five boys who research that university might have examined those reports.,There are dozens of boys who research that university.,modal,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,67c,3,presupposition_all_n_presupposition
The five boys who research that university might have examined those reports.,There are exactly five children who research that university.,modal,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,68n,3,presupposition_all_n_presupposition
"If the five boys who research that university had examined those reports, it's okay.",There are exactly five boys who research that university.,conditional,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,69e,3,presupposition_all_n_presupposition
"If the five boys who research that university had examined those reports, it's okay.",There are dozens of boys who research that university.,conditional,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,70c,3,presupposition_all_n_presupposition
"If the five boys who research that university had examined those reports, it's okay.",There are exactly five children who research that university.,conditional,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,71n,3,presupposition_all_n_presupposition
The five boys who research that university hadn't examined those reports.,The five boys who research that university had examined those reports.,Not_In_Example,negated,unembedded,Not_In_Example,2,all_n_presupposition,72c,3,presupposition_all_n_presupposition
Had the five boys who research that university examined those reports?,The five boys who research that university had examined those reports.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,all_n_presupposition,73n,3,presupposition_all_n_presupposition
The five boys who research that university might have examined those reports.,The five boys who research that university had examined those reports.,Not_In_Example,modal,unembedded,Not_In_Example,1,all_n_presupposition,74n,3,presupposition_all_n_presupposition
"If the five boys who research that university had examined those reports, it's okay.",The five boys who research that university had examined those reports.,Not_In_Example,conditional,unembedded,Not_In_Example,1,all_n_presupposition,75n,3,presupposition_all_n_presupposition
The two boys that divorced are needing to bike to a mountain.,There are exactly two boys that divorced.,unembedded,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,76e,4,presupposition_all_n_presupposition
The two boys that divorced are needing to bike to a mountain.,There are dozens of boys that divorced.,unembedded,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,77c,4,presupposition_all_n_presupposition
The two boys that divorced are needing to bike to a mountain.,There are exactly two museums that divorced.,unembedded,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,78n,4,presupposition_all_n_presupposition
The two boys that divorced aren't needing to bike to a mountain.,There are exactly two boys that divorced.,negated,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,79e,4,presupposition_all_n_presupposition
The two boys that divorced aren't needing to bike to a mountain.,There are dozens of boys that divorced.,negated,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,80c,4,presupposition_all_n_presupposition
The two boys that divorced aren't needing to bike to a mountain.,There are exactly two museums that divorced.,negated,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,81n,4,presupposition_all_n_presupposition
Are the two boys that divorced needing to bike to a mountain?,There are exactly two boys that divorced.,interrogative,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,82e,4,presupposition_all_n_presupposition
Are the two boys that divorced needing to bike to a mountain?,There are dozens of boys that divorced.,interrogative,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,83c,4,presupposition_all_n_presupposition
Are the two boys that divorced needing to bike to a mountain?,There are exactly two museums that divorced.,interrogative,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,84n,4,presupposition_all_n_presupposition
The two boys that divorced might be needing to bike to a mountain.,There are exactly two boys that divorced.,modal,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,85e,4,presupposition_all_n_presupposition
The two boys that divorced might be needing to bike to a mountain.,There are dozens of boys that divorced.,modal,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,86c,4,presupposition_all_n_presupposition
The two boys that divorced might be needing to bike to a mountain.,There are exactly two museums that divorced.,modal,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,87n,4,presupposition_all_n_presupposition
"If the two boys that divorced are needing to bike to a mountain, it's okay.",There are exactly two boys that divorced.,conditional,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,88e,4,presupposition_all_n_presupposition
"If the two boys that divorced are needing to bike to a mountain, it's okay.",There are dozens of boys that divorced.,conditional,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,89c,4,presupposition_all_n_presupposition
"If the two boys that divorced are needing to bike to a mountain, it's okay.",There are exactly two museums that divorced.,conditional,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,90n,4,presupposition_all_n_presupposition
The two boys that divorced aren't needing to bike to a mountain.,The two boys that divorced are needing to bike to a mountain.,Not_In_Example,negated,unembedded,Not_In_Example,2,all_n_presupposition,91c,4,presupposition_all_n_presupposition
Are the two boys that divorced needing to bike to a mountain?,The two boys that divorced are needing to bike to a mountain.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,all_n_presupposition,92n,4,presupposition_all_n_presupposition
The two boys that divorced might be needing to bike to a mountain.,The two boys that divorced are needing to bike to a mountain.,Not_In_Example,modal,unembedded,Not_In_Example,1,all_n_presupposition,93n,4,presupposition_all_n_presupposition
"If the two boys that divorced are needing to bike to a mountain, it's okay.",The two boys that divorced are needing to bike to a mountain.,Not_In_Example,conditional,unembedded,Not_In_Example,1,all_n_presupposition,94n,4,presupposition_all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,There are exactly nine teenagers that haven't spurred many nieces of Liam to explain everything.,unembedded,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,95e,5,presupposition_all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,There are exactly ten teenagers that haven't spurred many nieces of Liam to explain everything.,unembedded,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,96c,5,presupposition_all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,There are exactly nine people that haven't spurred many nieces of Liam to explain everything.,unembedded,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,97n,5,presupposition_all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything haven't observed Jacqueline.,There are exactly nine teenagers that haven't spurred many nieces of Liam to explain everything.,negated,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,98e,5,presupposition_all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything haven't observed Jacqueline.,There are exactly ten teenagers that haven't spurred many nieces of Liam to explain everything.,negated,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,99c,5,presupposition_all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything haven't observed Jacqueline.,There are exactly nine people that haven't spurred many nieces of Liam to explain everything.,negated,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,100n,5,presupposition_all_n_presupposition
Have all nine teenagers that haven't spurred many nieces of Liam to explain everything observed Jacqueline?,There are exactly nine teenagers that haven't spurred many nieces of Liam to explain everything.,interrogative,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,101e,5,presupposition_all_n_presupposition
Have all nine teenagers that haven't spurred many nieces of Liam to explain everything observed Jacqueline?,There are exactly ten teenagers that haven't spurred many nieces of Liam to explain everything.,interrogative,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,102c,5,presupposition_all_n_presupposition
Have all nine teenagers that haven't spurred many nieces of Liam to explain everything observed Jacqueline?,There are exactly nine people that haven't spurred many nieces of Liam to explain everything.,interrogative,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,103n,5,presupposition_all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything might have observed Jacqueline.,There are exactly nine teenagers that haven't spurred many nieces of Liam to explain everything.,modal,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,104e,5,presupposition_all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything might have observed Jacqueline.,There are exactly ten teenagers that haven't spurred many nieces of Liam to explain everything.,modal,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,105c,5,presupposition_all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything might have observed Jacqueline.,There are exactly nine people that haven't spurred many nieces of Liam to explain everything.,modal,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,106n,5,presupposition_all_n_presupposition
"If all nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline, it's okay.",There are exactly nine teenagers that haven't spurred many nieces of Liam to explain everything.,conditional,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,107e,5,presupposition_all_n_presupposition
"If all nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline, it's okay.",There are exactly ten teenagers that haven't spurred many nieces of Liam to explain everything.,conditional,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,108c,5,presupposition_all_n_presupposition
"If all nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline, it's okay.",There are exactly nine people that haven't spurred many nieces of Liam to explain everything.,conditional,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,109n,5,presupposition_all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything haven't observed Jacqueline.,All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,Not_In_Example,negated,unembedded,Not_In_Example,2,all_n_presupposition,110c,5,presupposition_all_n_presupposition
Have all nine teenagers that haven't spurred many nieces of Liam to explain everything observed Jacqueline?,All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,all_n_presupposition,111n,5,presupposition_all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything might have observed Jacqueline.,All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,Not_In_Example,modal,unembedded,Not_In_Example,1,all_n_presupposition,112n,5,presupposition_all_n_presupposition
"If all nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline, it's okay.",All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,Not_In_Example,conditional,unembedded,Not_In_Example,1,all_n_presupposition,113n,5,presupposition_all_n_presupposition
The four pedestrians that were visiting Brenda sigh.,There are exactly four pedestrians that were visiting Brenda.,unembedded,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,114e,6,presupposition_all_n_presupposition
The four pedestrians that were visiting Brenda sigh.,There aren't exactly four pedestrians that were visiting Brenda.,unembedded,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,115c,6,presupposition_all_n_presupposition
The four pedestrians that were visiting Brenda sigh.,There are exactly four teenagers that were visiting Brenda.,unembedded,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,116n,6,presupposition_all_n_presupposition
The four pedestrians that were visiting Brenda don't sigh.,There are exactly four pedestrians that were visiting Brenda.,negated,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,117e,6,presupposition_all_n_presupposition
The four pedestrians that were visiting Brenda don't sigh.,There aren't exactly four pedestrians that were visiting Brenda.,negated,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,118c,6,presupposition_all_n_presupposition
The four pedestrians that were visiting Brenda don't sigh.,There are exactly four teenagers that were visiting Brenda.,negated,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,119n,6,presupposition_all_n_presupposition
Do the four pedestrians that were visiting Brenda sigh?,There are exactly four pedestrians that were visiting Brenda.,interrogative,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,120e,6,presupposition_all_n_presupposition
Do the four pedestrians that were visiting Brenda sigh?,There aren't exactly four pedestrians that were visiting Brenda.,interrogative,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,121c,6,presupposition_all_n_presupposition
Do the four pedestrians that were visiting Brenda sigh?,There are exactly four teenagers that were visiting Brenda.,interrogative,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,122n,6,presupposition_all_n_presupposition
The four pedestrians that were visiting Brenda might sigh.,There are exactly four pedestrians that were visiting Brenda.,modal,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,123e,6,presupposition_all_n_presupposition
The four pedestrians that were visiting Brenda might sigh.,There aren't exactly four pedestrians that were visiting Brenda.,modal,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,124c,6,presupposition_all_n_presupposition
The four pedestrians that were visiting Brenda might sigh.,There are exactly four teenagers that were visiting Brenda.,modal,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,125n,6,presupposition_all_n_presupposition
"If the four pedestrians that were visiting Brenda sigh, it's okay.",There are exactly four pedestrians that were visiting Brenda.,conditional,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,126e,6,presupposition_all_n_presupposition
"If the four pedestrians that were visiting Brenda sigh, it's okay.",There aren't exactly four pedestrians that were visiting Brenda.,conditional,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,127c,6,presupposition_all_n_presupposition
"If the four pedestrians that were visiting Brenda sigh, it's okay.",There are exactly four teenagers that were visiting Brenda.,conditional,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,128n,6,presupposition_all_n_presupposition
The four pedestrians that were visiting Brenda don't sigh.,The four pedestrians that were visiting Brenda sigh.,Not_In_Example,negated,unembedded,Not_In_Example,2,all_n_presupposition,129c,6,presupposition_all_n_presupposition
Do the four pedestrians that were visiting Brenda sigh?,The four pedestrians that were visiting Brenda sigh.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,all_n_presupposition,130n,6,presupposition_all_n_presupposition
The four pedestrians that were visiting Brenda might sigh.,The four pedestrians that were visiting Brenda sigh.,Not_In_Example,modal,unembedded,Not_In_Example,1,all_n_presupposition,131n,6,presupposition_all_n_presupposition
"If the four pedestrians that were visiting Brenda sigh, it's okay.",The four pedestrians that were visiting Brenda sigh.,Not_In_Example,conditional,unembedded,Not_In_Example,1,all_n_presupposition,132n,6,presupposition_all_n_presupposition
All eight skateboards that hadn't annoyed Amelia were astounding Christina.,There are exactly eight skateboards that hadn't annoyed Amelia.,unembedded,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,133e,7,presupposition_all_n_presupposition
All eight skateboards that hadn't annoyed Amelia were astounding Christina.,There aren't exactly eight skateboards that hadn't annoyed Amelia.,unembedded,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,134c,7,presupposition_all_n_presupposition
All eight skateboards that hadn't annoyed Amelia were astounding Christina.,There are exactly eight books that hadn't annoyed Amelia.,unembedded,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,135n,7,presupposition_all_n_presupposition
All eight skateboards that hadn't annoyed Amelia weren't astounding Christina.,There are exactly eight skateboards that hadn't annoyed Amelia.,negated,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,136e,7,presupposition_all_n_presupposition
All eight skateboards that hadn't annoyed Amelia weren't astounding Christina.,There aren't exactly eight skateboards that hadn't annoyed Amelia.,negated,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,137c,7,presupposition_all_n_presupposition
All eight skateboards that hadn't annoyed Amelia weren't astounding Christina.,There are exactly eight books that hadn't annoyed Amelia.,negated,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,138n,7,presupposition_all_n_presupposition
Were all eight skateboards that hadn't annoyed Amelia astounding Christina?,There are exactly eight skateboards that hadn't annoyed Amelia.,interrogative,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,139e,7,presupposition_all_n_presupposition
